47;1;101;101;46;101;1;101;3;1;0
73;1;102;102;36;102;1;101;3;3;0
50;1;101;101;22;103;1;102;0;1;0
54;0;103;103;20,5;104;1;103;0;3;1
84;0;103;103;20,5;105;1;104;4;3;1
55;0;103;103;20,5;105;1;101;4;0;0
57;0;103;103;20,5;105;1;101;1;0;0
59;0;103;103;20,5;105;1;103;3;3;0
59;1;101;104;18;106;1;103;2;1;0
38;1;104;105;13;107;1;101;4;1;0
47;1;101;101;12,2;108;1;101;2;3;0
80;0;105;106;11;109;1;101;2;2;1
83;0;105;106;11;110;1;103;3;2;1
89;1;105;107;10,5;111;1;101;3;3;0
72;0;106;108;10,4;112;1;101;4;3;0
64;0;106;108;10,4;113;1;103;3;3;1
67;0;106;108;10,4;114;1;101;2;3;0
41;0;107;109;9,8;115;1;101;2;3;1
80;1;105;110;9,7;116;1;101;2;3;0
50;1;105;111;8,9;117;1;101;5;3;0
73;0;105;112;7,7;118;1;101;3;1;0
75;0;105;112;7,7;119;1;101;3;2;0
77;0;108;113;7,6;120;1;101;5;3;0
54;0;108;113;7,6;120;1;101;4;3;0
75;0;109;114;7,4;121;1;101;4;3;0
40;1;110;120;15;124;0;101;4;3;0
37;1;110;120;10,6;125;0;101;0;1;0
39;1;110;120;5,6;124;0;101;2;3;0
43;1;111;121;4,9;124;0;101;3;3;0
38;1;111;121;4,8;124;0;102;0;3;0
47;1;111;121;3,8;124;0;101;3;3;0
38;1;112;122;3,5;126;0;101;2;3;0
35;1;113;122;3,3;124;0;101;0;0;0
46;1;110;120;3,3;124;0;101;2;3;0
53;1;110;120;2,7;124;0;101;1;3;0
44;1;110;120;2;124;0;101;2;3;0
44;1;110;120;1,8;124;0;101;2;3;0
46;1;110;120;1,8;124;0;101;2;3;0
47;1;110;120;1,8;124;0;101;3;3;0
46;1;110;120;1,8;124;0;101;3;3;0
52;1;110;120;1,7;127;0;101;1;3;0
55;1;114;123;1,5;124;0;101;2;3;0
42;1;110;120;1,4;124;0;101;2;3;0
47;1;110;120;1,3;124;0;101;2;3;0
43;1;110;120;1,3;124;0;101;2;3;0
62;1;115;120;1,2;124;0;101;2;3;0
69;1;115;120;1,2;124;0;101;2;3;0
32;1;116;124;1,1;124;0;102;0;1;0
45;1;111;121;1;124;0;101;3;3;0
32;1;111;121;1;124;0;101;0;3;0
